Date,Province,Health Zone,Confirmed Cases,Confirmed cases in the last 21 days,Death Among Confirmed Cases,Probable Cases,Total Cases,Total Deaths
11/21/18,Noth Kivu,Beni,167,,87,9,176,96
11/21/18,Noth Kivu,Butembo,11,,7,0,11,7
11/21/18,Noth Kivu,Katwa,23,,14,3,26,17
11/21/18,Noth Kivu,Kalunguta,24,,10,12,36,22
11/21/18,Noth Kivu,Kyondo,2,,1,2,4,3
11/21/18,Noth Kivu,Mabalako,67,,36,16,83,52
11/21/18,Noth Kivu,Masereka,6,,1,1,7,2
11/21/18,Noth Kivu,Musienene,2,,2,1,3,3
11/21/18,Noth Kivu,Mutwanga,1,,0,0,1,0
11/21/18,Noth Kivu,Oicha,2,,0,0,2,0
11/21/18,Noth Kivu,Vuhovi,2,,1,0,2,1
11/21/18,Ituri,Komanda,1,,0,0,1,0
11/21/18,Ituri,Mandima,16,,9,3,19,12
11/21/18,Ituri,Tchomia,2,,2,0,2,2
11/28/18,Noth Kivu,Beni,180,,96,9,189,105
11/28/18,Noth Kivu,Butembo,17,,15,0,17,15
11/28/18,Noth Kivu,Katwa,39,,18,3,42,21
11/28/18,Noth Kivu,Kalunguta,33,,11,12,45,23
11/28/18,Noth Kivu,Kyondo,3,,1,2,5,3
11/28/18,Noth Kivu,Mabalako,67,,36,16,83,52
11/28/18,Noth Kivu,Masereka,6,,1,1,7,2
11/28/18,Noth Kivu,Musienene,2,,2,1,3,3
11/28/18,Noth Kivu,Mutwanga,2,,1,0,2,1
11/28/18,Noth Kivu,Oicha,4,,1,0,4,1
11/28/18,Noth Kivu,Vuhovi,2,,1,0,2,1
11/28/18,Ituri,Komanda,1,,0,0,1,0
11/28/18,Ituri,Mandima,16,,9,3,19,12
11/28/18,Ituri,Tchomia,2,,2,0,2,2
12/5/18,Noth Kivu,Beni,188,,107,9,197,116
12/5/18,Noth Kivu,Butembo,18,,18,0,18,18
12/5/18,Noth Kivu,Katwa,46,,24,4,50,28
12/5/18,Noth Kivu,Kalunguta,35,,12,12,47,24
12/5/18,Noth Kivu,Kyondo,3,,1,2,5,3
12/5/18,Noth Kivu,Mabalako,68,,37,16,84,53
12/5/18,Noth Kivu,Masereka,7,,1,1,8,2
12/5/18,Noth Kivu,Musienene,2,,2,1,3,3
12/5/18,Noth Kivu,Mutwanga,3,,1,0,3,1
12/5/18,Noth Kivu,Oicha,4,,1,0,4,1
12/5/18,Noth Kivu,Vuhovi,5,,1,0,5,1
12/5/18,Ituri,Komanda,8,,4,0,8,4
12/5/18,Ituri,Mandima,16,,9,3,19,12
12/5/18,Ituri,Tchomia,2,,2,0,2,2
12/12/18,Noth Kivu,Beni,204,,105,9,213,114
12/12/18,Noth Kivu,Butembo,30,,15,0,30,15
12/12/18,Noth Kivu,Kalunguta,31,,16,12,43,28
12/12/18,Noth Kivu,Katwa,56,,35,4,60,39
12/12/18,Noth Kivu,Kyondo,4,,1,2,6,3
12/12/18,Noth Kivu,Mabalako,73,,42,16,88,58
12/12/18,Noth Kivu,Masereka,7,,2,1,8,3
12/12/18,Noth Kivu,Musienene,2,,2,1,3,3
12/12/18,Noth Kivu,Mutwanga,3,,2,0,3,2
12/12/18,Noth Kivu,Oicha,7,,2,0,7,2
12/12/18,Noth Kivu,Vuhovi,8,,3,0,8,3
12/12/18,Ituri,Komanda,8,,4,0,8,4
12/12/18,Ituri,Mandima,17,,10,3,20,13
12/12/18,Ituri,Tchomia,2,,2,0,2,2
12/18/18,Noth Kivu,Beni,207,,113,9,216,122
12/18/18,Noth Kivu,Biena,1,,0,0,1,0
12/18/18,Noth Kivu,Butembo,34,,16,0,34,16
12/18/18,Noth Kivu,Kalunguta,34,,17,12,46,29
12/18/18,Noth Kivu,Katwa,65,,42,4,69,46
12/18/18,Noth Kivu,Kyondo,6,,3,2,8,5
12/18/18,Noth Kivu,Mabalako,79,,46,16,95,62
12/18/18,Noth Kivu,Masereka,7,,2,1,8,3
12/18/18,Noth Kivu,Musienene,3,,2,1,4,3
12/18/18,Noth Kivu,Mutwanga,3,,2,0,3,2
12/18/18,Noth Kivu,Oicha,8,,2,0,8,2
12/18/18,Noth Kivu,Vuhovi,8,,3,0,8,3
12/18/18,Ituri,Komanda,17,,7,0,17,7
12/18/18,Ituri,Mandima,17,,10,3,20,13
12/18/18,Ituri,Tchomia,2,,2,0,2,2
12/27/18,Noth Kivu,Beni,212,,123,9,221,132
12/27/18,Noth Kivu,Biena,1,,0,0,1,0
12/27/18,Noth Kivu,Butembo,39,,26,0,39,26
12/27/18,Noth Kivu,Kalunguta,37,,17,12,49,29
12/27/18,Noth Kivu,Katwa,76,,48,4,80,52
12/27/18,Noth Kivu,Kyondo,6,,3,2,8,5
12/27/18,Noth Kivu,Mabalako,85,,50,16,101,66
12/27/18,Noth Kivu,Masereka,7,,2,1,8,3
12/27/18,Noth Kivu,Musienene,4,,2,1,5,3
12/27/18,Noth Kivu,Mutwanga,3,,2,0,3,2
12/27/18,Noth Kivu,Oicha,11,,4,0,11,4
12/27/18,Noth Kivu,Vuhovi,8,,3,0,8,3
12/27/18,Ituri,Komanda,28,,15,0,28,15
12/27/18,Ituri,Mandima,17,,10,3,20,13
12/27/18,Ituri,Tchomia,2,,2,0,2,2
12/27/18,Ituri,Nyakunde,1,,1,0,1,1
1/3/19,Noth Kivu,Beni,216,,128,9,225,137
1/3/19,Noth Kivu,Biena,1,,0,0,1,0
1/3/19,Noth Kivu,Butembo,43,,26,0,43,26
1/3/19,Noth Kivu,Kalunguta,39,,17,12,51,29
1/3/19,Noth Kivu,Katwa,80,,50,4,84,54
1/3/19,Noth Kivu,Kyondo,6,,3,2,8,5
1/3/19,Noth Kivu,Mabalako,86,,52,16,102,68
1/3/19,Noth Kivu,Masereka,7,,2,1,8,3
1/3/19,Noth Kivu,Musienene,4,,2,1,5,3
1/3/19,Noth Kivu,Mutwanga,3,,2,0,3,2
1/3/19,Noth Kivu,Oicha,17,,6,0,17,6
1/3/19,Noth Kivu,Vuhovi,8,,3,0,8,3
1/3/19,Ituri,Komanda,30,,16,0,30,16
1/3/19,Ituri,Mandima,17,,10,3,20,13
1/3/19,Ituri,Tchomia,2,,2,0,2,2
1/3/19,Ituri,Nyakunde,1,,1,0,1,1
1/8/19,Noth Kivu,Beni,218,,130,9,227,139
1/8/19,Noth Kivu,Biena,1,,0,0,1,0
1/8/19,Noth Kivu,Butembo,46,,27,0,46,27
1/8/19,Noth Kivu,Kalunguta,40,,17,12,52,29
1/8/19,Noth Kivu,Katwa,87,,56,4,91,60
1/8/19,Noth Kivu,Kyondo,8,,3,2,10,5
1/8/19,Noth Kivu,Mabalako,89,,52,16,105,68
1/8/19,Noth Kivu,Masereka,7,,2,1,8,3
1/8/19,Noth Kivu,Musienene,4,,2,1,5,3
1/8/19,Noth Kivu,Mutwanga,3,,2,0,3,2
1/8/19,Noth Kivu,Oicha,23,,6,0,23,6
1/8/19,Noth Kivu,Vuhovi,8,,3,0,8,3
1/8/19,Ituri,Komanda,23,,16,0,23,16
